Number One,Number Two,Their GCD,Time Spent (Nanoseconds)
4585,-13132,7,3800
10833,-4304,1,18100
12385,657,1,6000
15148,-3450,2,900
7396,4280,4,4900
-4124,10270,2,6000
11553,-14288,1,14100
7982,-4509,1,19600
-8663,10452,1,6300
9297,-7407,9,14300
2072,-10658,2,10200
-12312,8425,1,14800
-2824,-7227,1,12100
-10781,1449,1,10000
-8478,-5943,3,2000
-9008,5179,1,8300
6502,5579,1,7200
4697,-14547,1,7700
-5586,14819,7,20000
-5875,-6303,1,21900
-11043,-4307,1,9400
-7325,15110,5,6000
-8643,-7837,1,20700
4091,8390,1,10900
2714,-7503,1,11600
6952,-5311,1,11100
7017,-15676,1,8000
6572,4283,1,23900
-12242,7205,1,6100
-3902,785,1,9900
11932,3013,1,1200
-158,-15374,2,4400
5629,1753,1,21100
-4928,2379,1,2500
8660,-15641,1,3600
-16362,1539,81,21600
8129,-7135,1,2100
9635,10985,5,9900
7334,-6669,19,15100
1267,-3093,1,9300
-13048,-3624,8,4300
-13214,5512,2,5200
-11080,6257,1,7600
5596,7816,4,8700
12722,8408,2,10900
2278,-7702,2,11600
-12731,-7630,1,10700
7650,15646,2,10500
-396,-9341,1,22000
9870,3700,10,13000
-4963,-569,1,5500
16335,-4139,1,800
14680,-9154,2,6000
4269,2481,3,12700
-11614,14087,1,3500
-1378,4664,106,19300
-14789,5104,1,6300
7943,-13107,1,7100
4940,-9843,1,18100
-8704,7607,1,13800
16205,8327,1,10700
12888,1562,2,11600
12838,12087,1,2400
3800,7206,2,16700
7572,-11405,1,10200
8396,-11377,1,15800
-3121,3752,1,16100
7104,10813,1,5600
12650,-14295,5,16300
-3448,3396,4,22600
-390,-1593,3,4700
8579,2582,1,2400
-5382,2722,2,3600
-4576,8184,88,4100
-13714,-13249,1,11300
16288,-14926,2,52100
-3385,-12838,1,22100
-2786,-2165,1,19000
-7545,-1539,3,3300
-9011,-7820,1,2400
4645,12881,1,10700
12418,-1660,2,17700
-2893,-8779,1,2400
